#FORMAT=WebAnno TSV 3.1


#Text=At most the city should buy back all exisitng licences for the cost it currently charges for a new licence, 4.5 grand, less admin fee.
1-1	0-2	At	
1-2	3-7	most	
1-3	8-11	the	
1-4	12-16	city	
1-5	17-23	should	
1-6	24-27	buy	
1-7	28-32	back	
1-8	33-36	all	
1-9	37-45	exisitng	
1-10	46-54	licences	
1-11	55-58	for	
1-12	59-62	the	
1-13	63-67	cost	
1-14	68-70	it	
1-15	71-80	currently	
1-16	81-88	charges	
1-17	89-92	for	
1-18	93-94	a	
1-19	95-98	new	
1-20	99-106	licence	
1-21	106-107	,	
1-22	108-111	4.5	
1-23	112-117	grand	
1-24	117-118	,	
1-25	119-123	less	
1-26	124-129	admin	
1-27	130-133	fee	
1-28	133-134	.	

#Text=That is the most the city should compensate licence holders for, because that is the actual cost of a licence!
2-1	135-139	That	
2-2	140-142	is	
2-3	143-146	the	
2-4	147-151	most	
2-5	152-155	the	
2-6	156-160	city	
2-7	161-167	should	
2-8	168-178	compensate	
2-9	179-186	licence	
2-10	187-194	holders	
2-11	195-198	for	
2-12	198-199	,	
2-13	200-207	because	
2-14	208-212	that	
2-15	213-215	is	
2-16	216-219	the	
2-17	220-226	actual	
2-18	227-231	cost	
2-19	232-234	of	
2-20	235-236	a	
2-21	237-244	licence	
2-22	244-245	!	

#Text=Then, as the globe said the city should simply charge all drivers a yearly permit where they also have to show car maintenance and insurance.
3-1	246-250	Then	
3-2	250-251	,	
3-3	252-254	as	
3-4	255-258	the	
3-5	259-264	globe	
3-6	265-269	said	
3-7	270-273	the	
3-8	274-278	city	
3-9	279-285	should	
3-10	286-292	simply	
3-11	293-299	charge	
3-12	300-303	all	
3-13	304-311	drivers	
3-14	312-313	a	
3-15	314-320	yearly	
3-16	321-327	permit	
3-17	328-333	where	
3-18	334-338	they	
3-19	339-343	also	
3-20	344-348	have	
3-21	349-351	to	
3-22	352-356	show	
3-23	357-360	car	
3-24	361-372	maintenance	
3-25	373-376	and	
3-26	377-386	insurance	
3-27	386-387	.	

#Text=Done.
4-1	388-392	Done	
4-2	392-393	.	

#Text=This should be like 100 or so.
5-1	394-398	This	
5-2	399-405	should	
5-3	406-408	be	
5-4	409-413	like	
5-5	414-417	100	
5-6	418-420	or	
5-7	421-423	so	
5-8	423-424	.	
