#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=Don't need an inquiry, the problems are self evident as are the solutions.The current system has been tested for decades with increasingly disastrous results, perhaps the whole system is flawed and should be replaced.
1-1	0-5	Don't	NEG	
1-2	6-10	need	SCOPE[2]	
1-3	11-13	an	SCOPE[2]|FOCUS[3]	
1-4	14-21	inquiry	SCOPE[2]|FOCUS[3]	
1-5	21-22	,	_	
1-6	23-26	the	_	
1-7	27-35	problems	_	
1-8	36-39	are	_	
1-9	40-44	self	_	
1-10	45-52	evident	_	
1-11	53-55	as	_	
1-12	56-59	are	_	
1-13	60-63	the	_	
1-14	64-77	solutions.The	_	
1-15	78-85	current	_	
1-16	86-92	system	_	
1-17	93-96	has	_	
1-18	97-101	been	_	
1-19	102-108	tested	_	
1-20	109-112	for	_	
1-21	113-120	decades	_	
1-22	121-125	with	_	
1-23	126-138	increasingly	_	
1-24	139-149	disastrous	_	
1-25	150-157	results	_	
1-26	157-158	,	_	
1-27	159-166	perhaps	_	
1-28	167-170	the	_	
1-29	171-176	whole	_	
1-30	177-183	system	_	
1-31	184-186	is	_	
1-32	187-193	flawed	_	
1-33	194-197	and	_	
1-34	198-204	should	_	
1-35	205-207	be	_	
1-36	208-216	replaced	_	
1-37	216-217	.	_	
