#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=Yeah, the next iteration will be released in 3 months and the electronics is only worth 20 bucks - right!
1-1	0-4	Yeah	Judgment	neg	
1-2	4-5	,	_	_	
1-3	6-9	the	_	_	
1-4	10-14	next	Judgment[2]|Appreciation[3]	neg[2]|neg[3]	
1-5	15-24	iteration	Judgment[2]|Appreciation[3]	neg[2]|neg[3]	
1-6	25-29	will	Judgment[2]|Appreciation[3]	neg[2]|neg[3]	
1-7	30-32	be	Judgment[2]|Appreciation[3]	neg[2]|neg[3]	
1-8	33-41	released	Judgment[2]|Appreciation[3]	neg[2]|neg[3]	
1-9	42-44	in	Judgment[2]|Appreciation[3]	neg[2]|neg[3]	
1-10	45-46	3	Judgment[2]|Appreciation[3]	neg[2]|neg[3]	
1-11	47-53	months	Judgment[2]|Appreciation[3]	neg[2]|neg[3]	
1-12	54-57	and	Judgment[2]	neg[2]	
1-13	58-61	the	Judgment[2]	neg[2]	
1-14	62-73	electronics	Judgment[2]	neg[2]	
1-15	74-76	is	Judgment[2]	neg[2]	
1-16	77-81	only	Judgment[2]|Appreciation[4]	neg[2]|neg[4]	
1-17	82-87	worth	Judgment[2]|Appreciation[4]	neg[2]|neg[4]	
1-18	88-90	20	Judgment[2]|Appreciation[4]	neg[2]|neg[4]	
1-19	91-96	bucks	Judgment[2]|Appreciation[4]	neg[2]|neg[4]	
1-20	97-98	-	_	_	
1-21	99-104	right	Judgment	neg	
1-22	104-105	!	_	_	
