#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=there is nothing new about the new president elect, from the magic elixir, healing preachers, eron, bush 2...the list is long in the great scams of the US of A.
1-1	0-5	there	_	
1-2	6-8	is	_	
1-3	9-16	nothing	NEG	
1-4	17-20	new	SCOPE[2]	
1-5	21-26	about	SCOPE[2]	
1-6	27-30	the	SCOPE[2]|FOCUS[3]	
1-7	31-34	new	SCOPE[2]|FOCUS[3]	
1-8	35-44	president	SCOPE[2]|FOCUS[3]	
1-9	45-50	elect	SCOPE[2]|FOCUS[3]	
1-10	50-51	,	_	
1-11	52-56	from	_	
1-12	57-60	the	_	
1-13	61-66	magic	_	
1-14	67-73	elixir	_	
1-15	73-74	,	_	
1-16	75-82	healing	_	
1-17	83-92	preachers	_	
1-18	92-93	,	_	
1-19	94-98	eron	_	
1-20	98-99	,	_	
1-21	100-104	bush	_	
1-22	105-106	2	_	
1-23	106-107	.	_	
1-24	107-108	.	_	
1-25	108-109	.	_	
1-26	109-112	the	_	
1-27	113-117	list	_	
1-28	118-120	is	_	
1-29	121-125	long	_	
1-30	126-128	in	_	
1-31	129-132	the	_	
1-32	133-138	great	_	
1-33	139-144	scams	_	
1-34	145-147	of	_	
1-35	148-151	the	_	
1-36	152-154	US	_	
1-37	155-157	of	_	
1-38	158-159	A	_	
1-39	159-160	.	_	

#Text=What does the truth have to do with a good story?
2-1	161-165	What	_	
2-2	166-170	does	_	
2-3	171-174	the	_	
2-4	175-180	truth	_	
2-5	181-185	have	_	
2-6	186-188	to	_	
2-7	189-191	do	_	
2-8	192-196	with	_	
2-9	197-198	a	_	
2-10	199-203	good	_	
2-11	204-209	story	_	
2-12	209-210	?	_	
