#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations
#T_RL=webanno.custom.XNEGATION|BT_webanno.custom.NEGATION


#Text=a defiant shot across the bow for Washington and Ottawa===Nonsense, remove Ottawa, what qualifies you to be here?
1-1	0-1	a	_	_	
1-2	2-9	defiant	_	_	
1-3	10-14	shot	_	_	
1-4	15-21	across	_	_	
1-5	22-25	the	_	_	
1-6	26-29	bow	_	_	
1-7	30-33	for	_	_	
1-8	34-44	Washington	_	_	
1-9	45-48	and	_	_	
1-10	49-55	Ottawa	_	_	
1-11	55-56	=	_	_	
1-12	56-57	=	_	_	
1-13	57-58	=	_	_	
1-14	58-66	Nonsense	_	_	
1-15	66-67	,	_	_	
1-16	68-74	remove	_	_	
1-17	75-81	Ottawa	_	_	
1-18	81-82	,	_	_	
1-19	83-87	what	_	_	
1-20	88-97	qualifies	_	_	
1-21	98-101	you	_	_	
1-22	102-104	to	_	_	
1-23	105-107	be	_	_	
1-24	108-112	here	_	_	
1-25	112-113	?	_	_	

#Text=It will be Chinese, everyone knows, like it or not.
2-1	113-115	It	_	_	
2-2	116-120	will	_	_	
2-3	121-123	be	_	_	
2-4	124-131	Chinese	_	_	
2-5	131-132	,	_	_	
2-6	133-141	everyone	_	_	
2-7	142-147	knows	_	_	
2-8	147-148	,	_	_	
2-9	149-153	like	SCOPE[1]	2-12[0_1]	
2-10	154-156	it	SCOPE[1]|FOCUS[2]	_	
2-11	157-159	or	_	_	
2-12	160-163	not	NEG	_	
2-13	163-164	.	_	_	
