#FORMAT=WebAnno TSV 3.1


#Text=Meanwhile, on the migrant file and Euro-terrorism file in the past 24 hours or so: Islamic State 'planning attack on Jewish children in Turkey' - TelegraphGerman rail operator launches women-only train carriages following sex attacks - TelegraphGermany wants refugees to integrate or lose residency rights | ReutersFrancois Hollande drops plan to strip jihadists of their French passports - TelegraphMigrant rescues up sharply off Italian coast - Deutsche WelleUN chief: world must resettle 480,000 Syrian refugees - TelegraphReport: Smugglers prepare new human trafficking route to Italy - Deutsche WellePolice Evacuate Migrant Camp Near Paris Subway Station - ABC News
1-1	0-9	Meanwhile	
1-2	9-10	,	
1-3	11-13	on	
1-4	14-17	the	
1-5	18-25	migrant	
1-6	26-30	file	
1-7	31-34	and	
1-8	35-49	Euro-terrorism	
1-9	50-54	file	
1-10	55-57	in	
1-11	58-61	the	
1-12	62-66	past	
1-13	67-69	24	
1-14	70-75	hours	
1-15	76-78	or	
1-16	79-81	so	
1-17	81-82	:	
1-18	83-90	Islamic	
1-19	91-96	State	
1-20	97-98	'	
1-21	98-106	planning	
1-22	107-113	attack	
1-23	114-116	on	
1-24	117-123	Jewish	
1-25	124-132	children	
1-26	133-135	in	
1-27	136-142	Turkey	
1-28	142-143	'	
1-29	144-145	-	
1-30	146-161	TelegraphGerman	
1-31	162-166	rail	
1-32	167-175	operator	
1-33	176-184	launches	
1-34	185-195	women-only	
1-35	196-201	train	
1-36	202-211	carriages	
1-37	212-221	following	
1-38	222-225	sex	
1-39	226-233	attacks	
1-40	234-235	-	
1-41	236-252	TelegraphGermany	
1-42	253-258	wants	
1-43	259-267	refugees	
1-44	268-270	to	
1-45	271-280	integrate	
1-46	281-283	or	
1-47	284-288	lose	
1-48	289-298	residency	
1-49	299-305	rights	
1-50	306-307	|	
1-51	308-323	ReutersFrancois	
1-52	324-332	Hollande	
1-53	333-338	drops	
1-54	339-343	plan	
1-55	344-346	to	
1-56	347-352	strip	
1-57	353-362	jihadists	
1-58	363-365	of	
1-59	366-371	their	
1-60	372-378	French	
1-61	379-388	passports	
1-62	389-390	-	
1-63	391-407	TelegraphMigrant	
1-64	408-415	rescues	
1-65	416-418	up	
1-66	419-426	sharply	
1-67	427-430	off	
1-68	431-438	Italian	
1-69	439-444	coast	
1-70	445-446	-	
1-71	447-455	Deutsche	
1-72	456-463	WelleUN	
1-73	464-469	chief	
1-74	469-470	:	
1-75	471-476	world	
1-76	477-481	must	
1-77	482-490	resettle	
1-78	491-498	480,000	
1-79	499-505	Syrian	
1-80	506-514	refugees	
1-81	515-516	-	
1-82	517-532	TelegraphReport	
1-83	532-533	:	
1-84	534-543	Smugglers	
1-85	544-551	prepare	
1-86	552-555	new	
1-87	556-561	human	
1-88	562-573	trafficking	
1-89	574-579	route	
1-90	580-582	to	
1-91	583-588	Italy	
1-92	589-590	-	
1-93	591-599	Deutsche	
1-94	600-611	WellePolice	
1-95	612-620	Evacuate	
1-96	621-628	Migrant	
1-97	629-633	Camp	
1-98	634-638	Near	
1-99	639-644	Paris	
1-100	645-651	Subway	
1-101	652-659	Station	
1-102	660-661	-	
1-103	662-665	ABC	
1-104	666-670	News	
