#FORMAT=WebAnno TSV 3.1


#Text=so... how long do you think before Uber 'taxis' become old, decrepit and smelly...
1-1	0-2	so	
1-2	2-3	.	
1-3	3-4	.	
1-4	4-5	.	
1-5	6-9	how	
1-6	10-14	long	
1-7	15-17	do	
1-8	18-21	you	
1-9	22-27	think	
1-10	28-34	before	
1-11	35-39	Uber	
1-12	40-41	'	
1-13	41-46	taxis	
1-14	46-47	'	
1-15	48-54	become	
1-16	55-58	old	
1-17	58-59	,	
1-18	60-68	decrepit	
1-19	69-72	and	
1-20	73-79	smelly	
1-21	79-80	.	
1-22	80-81	.	
1-23	81-82	.	

#Text=I give it 2 years, tops
2-1	83-84	I	
2-2	85-89	give	
2-3	90-92	it	
2-4	93-94	2	
2-5	95-100	years	
2-6	100-101	,	
2-7	102-106	tops	
