#FORMAT=WebAnno TSV 3.1


#Text=Tell your daughters that for the first time in history a women was the campaign manager of a successful Presidential election.But, you know, Donald hates women.
1-1	0-4	Tell	
1-2	5-9	your	
1-3	10-19	daughters	
1-4	20-24	that	
1-5	25-28	for	
1-6	29-32	the	
1-7	33-38	first	
1-8	39-43	time	
1-9	44-46	in	
1-10	47-54	history	
1-11	55-56	a	
1-12	57-62	women	
1-13	63-66	was	
1-14	67-70	the	
1-15	71-79	campaign	
1-16	80-87	manager	
1-17	88-90	of	
1-18	91-92	a	
1-19	93-103	successful	
1-20	104-116	Presidential	
1-21	117-129	election.But	
1-22	129-130	,	
1-23	131-134	you	
1-24	135-139	know	
1-25	139-140	,	
1-26	141-147	Donald	
1-27	148-153	hates	
1-28	154-159	women	
1-29	159-160	.	
