#FORMAT=WebAnno TSV 3.1


#Text=Here's a thought.
1-1	0-6	Here's	
1-2	7-8	a	
1-3	9-16	thought	
1-4	16-17	.	

#Text=Have all the chiefs and their buddies actually pass on the millions of dollars we send them for the good of their people.
2-1	19-23	Have	
2-2	24-27	all	
2-3	28-31	the	
2-4	32-38	chiefs	
2-5	39-42	and	
2-6	43-48	their	
2-7	49-56	buddies	
2-8	57-65	actually	
2-9	66-70	pass	
2-10	71-73	on	
2-11	74-77	the	
2-12	78-86	millions	
2-13	87-89	of	
2-14	90-97	dollars	
2-15	98-100	we	
2-16	101-105	send	
2-17	106-110	them	
2-18	111-114	for	
2-19	115-118	the	
2-20	119-123	good	
2-21	124-126	of	
2-22	127-132	their	
2-23	133-139	people	
2-24	139-140	.	
