#FORMAT=WebAnno TSV 3.1


#Text=What if it turns out most of the missing and murdered women met their fate because of aboriginal males?
1-1	0-4	What	
1-2	5-7	if	
1-3	8-10	it	
1-4	11-16	turns	
1-5	17-20	out	
1-6	21-25	most	
1-7	26-28	of	
1-8	29-32	the	
1-9	33-40	missing	
1-10	41-44	and	
1-11	45-53	murdered	
1-12	54-59	women	
1-13	60-63	met	
1-14	64-69	their	
1-15	70-74	fate	
1-16	75-82	because	
1-17	83-85	of	
1-18	86-96	aboriginal	
1-19	97-102	males	
1-20	102-103	?	

#Text=Just sayn.
2-1	104-108	Just	
2-2	109-113	sayn	
2-3	113-114	.	
