#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=Causes: Social exclusion caused by family dysfunction (in this case, a murdered father, a mother who abandoned child at birth), abuse of drugs and/or alcohol (apparently introduced by her bio-mom), and emotional turmoil caused by the tragic death of her father.
1-1	0-6	Causes	_	
1-2	6-7	:	_	
1-3	8-14	Social	_	
1-4	15-24	exclusion	_	
1-5	25-31	caused	_	
1-6	32-34	by	_	
1-7	35-41	family	_	
1-8	42-53	dysfunction	_	
1-9	54-55	(	_	
1-10	55-57	in	_	
1-11	58-62	this	_	
1-12	63-67	case	_	
1-13	67-68	,	_	
1-14	69-70	a	_	
1-15	71-79	murdered	_	
1-16	80-86	father	_	
1-17	86-87	,	_	
1-18	88-89	a	_	
1-19	90-96	mother	_	
1-20	97-100	who	_	
1-21	101-110	abandoned	_	
1-22	111-116	child	_	
1-23	117-119	at	_	
1-24	120-125	birth	_	
1-25	125-126	)	_	
1-26	126-127	,	_	
1-27	128-133	abuse	_	
1-28	134-136	of	_	
1-29	137-142	drugs	_	
1-30	143-146	and	_	
1-31	146-147	/	_	
1-32	147-149	or	_	
1-33	150-157	alcohol	_	
1-34	158-159	(	_	
1-35	159-169	apparently	_	
1-36	170-180	introduced	_	
1-37	181-183	by	_	
1-38	184-187	her	_	
1-39	188-195	bio-mom	_	
1-40	195-196	)	_	
1-41	196-197	,	_	
1-42	198-201	and	_	
1-43	202-211	emotional	_	
1-44	212-219	turmoil	_	
1-45	220-226	caused	_	
1-46	227-229	by	_	
1-47	230-233	the	_	
1-48	234-240	tragic	_	
1-49	241-246	death	_	
1-50	247-249	of	_	
1-51	250-253	her	_	
1-52	254-260	father	_	
1-53	260-261	.	_	

#Text=Throw in running away from a care facility that was trying to help her, because she would not accept help at the home she was raised in (her aunt's).
2-1	262-267	Throw	_	
2-2	268-270	in	_	
2-3	271-278	running	_	
2-4	279-283	away	_	
2-5	284-288	from	_	
2-6	289-290	a	_	
2-7	291-295	care	_	
2-8	296-304	facility	_	
2-9	305-309	that	_	
2-10	310-313	was	_	
2-11	314-320	trying	_	
2-12	321-323	to	_	
2-13	324-328	help	_	
2-14	329-332	her	_	
2-15	332-333	,	_	
2-16	334-341	because	_	
2-17	342-345	she	_	
2-18	346-351	would	_	
2-19	352-355	not	NEG	
2-20	356-362	accept	SCOPE[2]	
2-21	363-367	help	SCOPE[2]	
2-22	368-370	at	SCOPE[2]	
2-23	371-374	the	SCOPE[2]|FOCUS[3]	
2-24	375-379	home	SCOPE[2]|FOCUS[3]	
2-25	380-383	she	SCOPE[2]|FOCUS[3]	
2-26	384-387	was	SCOPE[2]|FOCUS[3]	
2-27	388-394	raised	SCOPE[2]|FOCUS[3]	
2-28	395-397	in	SCOPE[2]|FOCUS[3]	
2-29	398-399	(	_	
2-30	399-402	her	_	
2-31	403-409	aunt's	_	
2-32	409-410	)	_	
2-33	410-411	.	_	

#Text=That unfortunately put her in the reach of people who thought nothing of killing her.
3-1	412-416	That	_	
3-2	417-430	unfortunately	_	
3-3	431-434	put	_	
