#FORMAT=WebAnno TSV 3.1


#Text=Okay Marie nice rant.But more importantly I hope that President Trump selects you as his special prosecutor to throw Hillary into the bucket.
1-1	0-4	Okay	
1-2	5-10	Marie	
1-3	11-15	nice	
1-4	16-24	rant.But	
1-5	25-29	more	
1-6	30-41	importantly	
1-7	42-43	I	
1-8	44-48	hope	
1-9	49-53	that	
1-10	54-63	President	
1-11	64-69	Trump	
1-12	70-77	selects	
1-13	78-81	you	
1-14	82-84	as	
1-15	85-88	his	
1-16	89-96	special	
1-17	97-107	prosecutor	
1-18	108-110	to	
1-19	111-116	throw	
1-20	117-124	Hillary	
1-21	125-129	into	
1-22	130-133	the	
1-23	134-140	bucket	
1-24	140-141	.	

#Text=You would be perfect.
2-1	142-145	You	
2-2	146-151	would	
2-3	152-154	be	
2-4	155-162	perfect	
2-5	162-163	.	
