#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=As a lawyer,I have nothing but the highest respect for you, as a political writer, not so much.
1-1	0-2	As	_	
1-2	3-4	a	_	
1-3	5-11	lawyer	_	
1-4	11-12	,	_	
1-5	12-13	I	_	
1-6	14-18	have	_	
1-7	19-26	nothing	NEG	
1-8	27-30	but	SCOPE[2]	
1-9	31-34	the	SCOPE[2]|FOCUS[3]	
1-10	35-42	highest	SCOPE[2]|FOCUS[3]	
1-11	43-50	respect	SCOPE[2]|FOCUS[3]	
1-12	51-54	for	SCOPE[2]	
1-13	55-58	you	SCOPE[2]	
1-14	58-59	,	_	
1-15	60-62	as	_	
1-16	63-64	a	_	
1-17	65-74	political	_	
1-18	75-81	writer	_	
1-19	81-82	,	_	
1-20	83-86	not	NEG	
1-21	87-89	so	SCOPE[5]|FOCUS[6]	
1-22	90-94	much	SCOPE[5]|FOCUS[6]	
1-23	94-95	.	_	

#Text=Ivanka Trump 2020
2-1	96-102	Ivanka	_	
2-2	103-108	Trump	_	
2-3	109-113	2020	_	
