#FORMAT=WebAnno TSV 3.1


#Text=I predict the pope will slam the U.S. either in front of congress or better yet at the UN.When this happens it follows that all the highly principled  posters here will in fact develop their own popecrush.
1-1	0-1	I	
1-2	2-9	predict	
1-3	10-13	the	
1-4	14-18	pope	
1-5	19-23	will	
1-6	24-28	slam	
1-7	29-32	the	
1-8	33-36	U.S	
1-9	36-37	.	
1-10	38-44	either	
1-11	45-47	in	
1-12	48-53	front	
1-13	54-56	of	
1-14	57-65	congress	
1-15	66-68	or	
1-16	69-75	better	
1-17	76-79	yet	
1-18	80-82	at	
1-19	83-86	the	
1-20	87-94	UN.When	
1-21	95-99	this	
1-22	100-107	happens	
1-23	108-110	it	
1-24	111-118	follows	
1-25	119-123	that	
1-26	124-127	all	
1-27	128-131	the	
1-28	132-138	highly	
1-29	139-149	principled	
1-30	151-158	posters	
1-31	159-163	here	
1-32	164-168	will	
1-33	169-171	in	
1-34	172-176	fact	
1-35	177-184	develop	
1-36	185-190	their	
1-37	191-194	own	
1-38	195-204	popecrush	
1-39	204-205	.	
