#FORMAT=WebAnno TSV 3.1


#Text=Have you ever seen such hysterical nut cases as the liberal media.
1-1	0-4	Have	
1-2	5-8	you	
1-3	9-13	ever	
1-4	14-18	seen	
1-5	19-23	such	
1-6	24-34	hysterical	
1-7	35-38	nut	
1-8	39-44	cases	
1-9	45-47	as	
1-10	48-51	the	
1-11	52-59	liberal	
1-12	60-65	media	
1-13	65-66	.	

#Text=Why would anyone vote for their candidate.
2-1	67-70	Why	
2-2	71-76	would	
2-3	77-83	anyone	
2-4	84-88	vote	
2-5	89-92	for	
2-6	93-98	their	
2-7	99-108	candidate	
2-8	108-109	.	

#Text=Disingenuous hysterical liberals.
3-1	110-122	Disingenuous	
3-2	123-133	hysterical	
3-3	134-142	liberals	
3-4	142-143	.	
