#FORMAT=WebAnno TSV 3.1


#Text=Interesting to see how the G&M's beloved Guardian hates Indians in the UK.http://www.dailyo.in/politics/uk-guardian-london-mayor-sadiq-khan-zac-goldsmith-david-cameron-racial-profiling-islamophobia-nri-left/story/1/9770.htmlThe last three paragraphs are a hilarious summation of the kind of people who write for the Graun.
1-1	0-11	Interesting	
1-2	12-14	to	
1-3	15-18	see	
1-4	19-22	how	
1-5	23-26	the	
1-6	27-28	G	
1-7	28-29	&	
1-8	29-32	M's	
1-9	33-40	beloved	
1-10	41-49	Guardian	
1-11	50-55	hates	
1-12	56-63	Indians	
1-13	64-66	in	
1-14	67-70	the	
1-15	71-78	UK.http	
1-16	78-79	:	
1-17	79-80	/	
1-18	80-81	/	
1-19	81-94	www.dailyo.in	
1-20	94-95	/	
1-21	95-103	politics	
1-22	103-104	/	
1-23	104-206	uk-guardian-london-mayor-sadiq-khan-zac-goldsmith-david-cameron-racial-profiling-islamophobia-nri-left	
1-24	206-207	/	
1-25	207-212	story	
1-26	212-213	/	
1-27	213-214	1	
1-28	214-215	/	
1-29	215-219	9770	
1-30	219-220	.	
1-31	220-227	htmlThe	
1-32	228-232	last	
1-33	233-238	three	
1-34	239-249	paragraphs	
1-35	250-253	are	
1-36	254-255	a	
1-37	256-265	hilarious	
1-38	266-275	summation	
1-39	276-278	of	
1-40	279-282	the	
1-41	283-287	kind	
1-42	288-290	of	
1-43	291-297	people	
1-44	298-301	who	
1-45	302-307	write	
1-46	308-311	for	
1-47	312-315	the	
1-48	316-321	Graun	
1-49	321-322	.	
