#FORMAT=WebAnno TSV 3.1


#Text=You do a disservice to all the women who have made it to the highest office in the land.
1-1	0-3	You	
1-2	4-6	do	
1-3	7-8	a	
1-4	9-19	disservice	
1-5	20-22	to	
1-6	23-26	all	
1-7	27-30	the	
1-8	31-36	women	
1-9	37-40	who	
1-10	41-45	have	
1-11	46-50	made	
1-12	51-53	it	
1-13	54-56	to	
1-14	57-60	the	
1-15	61-68	highest	
1-16	69-75	office	
1-17	76-78	in	
1-18	79-82	the	
1-19	83-87	land	
1-20	87-88	.	

#Text=Examples are numerous.
2-1	90-98	Examples	
2-2	99-102	are	
2-3	103-111	numerous	
2-4	111-112	.	

#Text=Hilary lost because the electorate discovered she was a phony.
3-1	114-120	Hilary	
3-2	121-125	lost	
3-3	126-133	because	
3-4	134-137	the	
3-5	138-148	electorate	
3-6	149-159	discovered	
3-7	160-163	she	
3-8	164-167	was	
3-9	168-169	a	
3-10	170-175	phony	
3-11	175-176	.	

#Text=Both men and women rejected her equally.
4-1	178-182	Both	
4-2	183-186	men	
4-3	187-190	and	
4-4	191-196	women	
4-5	197-205	rejected	
4-6	206-209	her	
4-7	210-217	equally	
4-8	217-218	.	
