#FORMAT=WebAnno TSV 3.1


#Text=re: A Trump administration might make it harder for Canada to bring in carbon taxes \u2013 but easier to build pipelines.just remember Trump wants a better deal for America with respect to KeystoneCanada may get a pipeline but it is going to cost you, more than you think
1-1	0-2	re	
1-2	2-3	:	
1-3	4-5	A	
1-4	6-11	Trump	
1-5	12-26	administration	
1-6	27-32	might	
1-7	33-37	make	
1-8	38-40	it	
1-9	41-47	harder	
1-10	48-51	for	
1-11	52-58	Canada	
1-12	59-61	to	
1-13	62-67	bring	
1-14	68-70	in	
1-15	71-77	carbon	
1-16	78-83	taxes	
1-17	84-85	–	
1-18	86-89	but	
1-19	90-96	easier	
1-20	97-99	to	
1-21	100-105	build	
1-22	106-120	pipelines.just	
1-23	121-129	remember	
1-24	130-135	Trump	
1-25	136-141	wants	
1-26	142-143	a	
1-27	144-150	better	
1-28	151-155	deal	
1-29	156-159	for	
1-30	160-167	America	
1-31	168-172	with	
1-32	173-180	respect	
1-33	181-183	to	
1-34	184-198	KeystoneCanada	
1-35	199-202	may	
1-36	203-206	get	
1-37	207-208	a	
1-38	209-217	pipeline	
1-39	218-221	but	
1-40	222-224	it	
1-41	225-227	is	
1-42	228-233	going	
1-43	234-236	to	
1-44	237-241	cost	
1-45	242-245	you	
1-46	245-246	,	
1-47	247-251	more	
1-48	252-256	than	
1-49	257-260	you	
1-50	261-266	think	
