#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=Why does no one blame the RICH Chiefs????
1-1	0-3	Why	Judgment[1]	neg[1]	
1-2	4-8	does	Judgment[1]	neg[1]	
1-3	9-11	no	Judgment[1]	neg[1]	
1-4	12-15	one	Judgment[1]	neg[1]	
1-5	16-21	blame	Judgment[1]	neg[1]	
1-6	22-25	the	Judgment[1]	neg[1]	
1-7	26-30	RICH	Judgment[1]|Judgment[2]	neg[1]|neg[2]	
1-8	31-37	Chiefs	Judgment[1]	neg[1]	
1-9	37-38	?	_	_	
1-10	38-39	?	_	_	
1-11	39-40	?	_	_	
1-12	40-41	?	_	_	

#Text=Shouldn't they be held responsible also?????
2-1	41-50	Shouldn't	Appreciation[3]	neg[3]	
2-2	51-55	they	Appreciation[3]	neg[3]	
2-3	56-58	be	Appreciation[3]	neg[3]	
2-4	59-63	held	Appreciation[3]	neg[3]	
2-5	64-75	responsible	Appreciation[3]	neg[3]	
2-6	76-80	also	Appreciation[3]	neg[3]	
2-7	80-81	?	_	_	
2-8	81-82	?	_	_	
2-9	82-83	?	_	_	
2-10	83-84	?	_	_	
2-11	84-85	?	_	_	
