#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=But that ethnicity, not a religious conflict.
1-1	0-3	But	_	
1-2	4-8	that	_	
1-3	9-18	ethnicity	_	
1-4	18-19	,	_	
1-5	20-23	not	NEG	
1-6	24-25	a	SCOPE[2]	
1-7	26-35	religious	SCOPE[2]|FOCUS[3]	
1-8	36-44	conflict	SCOPE[2]	
1-9	44-45	.	_	

#Text=Not that it make is less atrocious, but since you mentioned religion ...
2-1	46-49	Not	NEG	
2-2	50-54	that	SCOPE[5]	
2-3	55-57	it	SCOPE[5]	
2-4	58-62	make	SCOPE[5]	
2-5	63-65	is	SCOPE[5]	
2-6	66-70	less	SCOPE[5]|FOCUS[6]	
2-7	71-80	atrocious	SCOPE[5]	
2-8	80-81	,	_	
2-9	82-85	but	_	
2-10	86-91	since	_	
2-11	92-95	you	_	
2-12	96-105	mentioned	_	
2-13	106-114	religion	_	
2-14	115-116	.	_	
2-15	116-117	.	_	
2-16	117-118	.	_	
