#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=Pay for your own kids' babysitting.The last thing that any problem needs is an NDP style, big goverment, one-size fits all approach.First, if it runs through Ottawa it's a colossal waste of money.Second, pay for your own kids' babysitting.You really can't stress the last point enough.
1-1	0-3	Pay	_	
1-2	4-7	for	_	
1-3	8-12	your	_	
1-4	13-16	own	_	
1-5	17-21	kids	_	
1-6	21-22	'	_	
1-7	23-38	babysitting.The	_	
1-8	39-43	last	_	
1-9	44-49	thing	_	
1-10	50-54	that	_	
1-11	55-58	any	_	
1-12	59-66	problem	_	
1-13	67-72	needs	_	
1-14	73-75	is	_	
1-15	76-78	an	_	
1-16	79-82	NDP	_	
1-17	83-88	style	_	
1-18	88-89	,	_	
1-19	90-93	big	_	
1-20	94-103	goverment	_	
1-21	103-104	,	_	
1-22	105-113	one-size	_	
1-23	114-118	fits	_	
1-24	119-122	all	_	
1-25	123-137	approach.First	_	
1-26	137-138	,	_	
1-27	139-141	if	_	
1-28	142-144	it	_	
1-29	145-149	runs	_	
1-30	150-157	through	_	
1-31	158-164	Ottawa	_	
1-32	165-169	it's	_	
1-33	170-171	a	_	
1-34	172-180	colossal	_	
1-35	181-186	waste	_	
1-36	187-189	of	_	
1-37	190-202	money.Second	_	
1-38	202-203	,	_	
1-39	204-207	pay	_	
1-40	208-211	for	_	
1-41	212-216	your	_	
1-42	217-220	own	_	
1-43	221-225	kids	_	
1-44	225-226	'	_	
1-45	227-242	babysitting.You	_	
1-46	243-249	really	_	
1-47	250-255	can't	NEG	
1-48	256-262	stress	SCOPE[2]	
1-49	263-266	the	SCOPE[2]	
1-50	267-271	last	SCOPE[2]	
1-51	272-277	point	SCOPE[2]	
1-52	278-284	enough	SCOPE[2]|FOCUS[3]	
1-53	284-285	.	_	
