#FORMAT=WebAnno TSV 3.1


#Text=HRC, Obama, the elites and the media drew a blue line in the sand and dared the deplorable tax payers to step over it.
1-1	0-3	HRC	
1-2	3-4	,	
1-3	5-10	Obama	
1-4	10-11	,	
1-5	12-15	the	
1-6	16-22	elites	
1-7	23-26	and	
1-8	27-30	the	
1-9	31-36	media	
1-10	37-41	drew	
1-11	42-43	a	
1-12	44-48	blue	
1-13	49-53	line	
1-14	54-56	in	
1-15	57-60	the	
1-16	61-65	sand	
1-17	66-69	and	
1-18	70-75	dared	
1-19	76-79	the	
1-20	80-90	deplorable	
1-21	91-94	tax	
1-22	95-101	payers	
1-23	102-104	to	
1-24	105-109	step	
1-25	110-114	over	
1-26	115-117	it	
1-27	117-118	.	
