#FORMAT=WebAnno TSV 3.1


#Text=You know when there is finally a surplus on the eve of an election is is a sham.
1-1	0-3	You	
1-2	4-8	know	
1-3	9-13	when	
1-4	14-19	there	
1-5	20-22	is	
1-6	23-30	finally	
1-7	31-32	a	
1-8	33-40	surplus	
1-9	41-43	on	
1-10	44-47	the	
1-11	48-51	eve	
1-12	52-54	of	
1-13	55-57	an	
1-14	58-66	election	
1-15	67-69	is	
1-16	70-72	is	
1-17	73-74	a	
1-18	75-79	sham	
1-19	79-80	.	

#Text=The NS NDP government did the same thing and were then voted out.
2-1	81-84	The	
2-2	85-87	NS	
2-3	88-91	NDP	
2-4	92-102	government	
2-5	103-106	did	
2-6	107-110	the	
2-7	111-115	same	
2-8	116-121	thing	
2-9	122-125	and	
2-10	126-130	were	
2-11	131-135	then	
2-12	136-141	voted	
2-13	142-145	out	
2-14	145-146	.	

#Text=Of course the new government called it a deficit.
3-1	147-149	Of	
3-2	150-156	course	
3-3	157-160	the	
3-4	161-164	new	
3-5	165-175	government	
3-6	176-182	called	
3-7	183-185	it	
3-8	186-187	a	
3-9	188-195	deficit	
3-10	195-196	.	
