#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.NEGATION|Negations


#Text=The City of Vancouver is being hollowed out by a proliferation of empty homes, and a dearth of new citizenry.
1-1	0-3	The	_	
1-2	4-8	City	_	
1-3	9-11	of	_	
1-4	12-21	Vancouver	_	
1-5	22-24	is	_	
1-6	25-30	being	_	
1-7	31-39	hollowed	_	
1-8	40-43	out	_	
1-9	44-46	by	_	
1-10	47-48	a	_	
1-11	49-62	proliferation	_	
1-12	63-65	of	_	
1-13	66-71	empty	_	
1-14	72-77	homes	_	
1-15	77-78	,	_	
1-16	79-82	and	_	
1-17	83-84	a	_	
1-18	85-91	dearth	_	
1-19	92-94	of	_	
1-20	95-98	new	_	
1-21	99-108	citizenry	_	
1-22	108-109	.	_	

#Text=I do not care where these 'investors' come from.
2-1	110-111	I	_	
2-2	112-114	do	_	
2-3	115-118	not	NEG	
2-4	119-123	care	SCOPE[2]	
2-5	124-129	where	SCOPE[2]	
2-6	130-135	these	SCOPE[2]|FOCUS[3]	
2-7	136-137	'	SCOPE[2]|FOCUS[3]	
2-8	137-146	investors	SCOPE[2]|FOCUS[3]	
2-9	146-147	'	SCOPE[2]|FOCUS[3]	
2-10	148-152	come	SCOPE[2]	
2-11	153-157	from	SCOPE[2]	
2-12	157-158	.	_	

#Text=Tax them into oblivion.
3-1	159-162	Tax	_	
3-2	163-167	them	_	
3-3	168-172	into	_	
3-4	173-181	oblivion	_	
3-5	181-182	.	_	
